lnc	prob	Type
ENSG00000248008	0.885651267012581	1
ENSG00000245532	0.877745597260073	1
ENSG00000250436	0.915852474675048	1
ENSG00000245526	0.912550771161914	1
ENSG00000237187	0.889177014899906	1
ENSG00000251022	0.922676790133119	1
ENSG00000237125	0.877505174039397	1
ENSG00000249669	0.932309978196863	1
ENSG00000251350	0.906684645055793	1
ENSG00000248323	0.919944783225656	1
ENSG00000249375	0.91454295030795	1
ENSG00000245910	0.909685857046861	1
ENSG00000204949	0.913278280061204	1
ENSG00000170919	0.867337226315867	1
ENSG00000253898	0.903827039310709	1
ENSG00000240990	0.91904534697067	1
ENSG00000254560	0.871273833869491	1
ENSG00000251562	0.912240045629442	1
ENSG00000255717	0.858301516990177	1
ENSG00000249550	0.916333711629268	1
ENSG00000228288	0.935021296429913	1
ENSG00000258791	0.90976788865868	1
ENSG00000258701	0.91006740171928	1
ENSG00000259134	0.887801950692665	1
ENSG00000215256	0.86241702302359	1
ENSG00000212766	0.892242860228289	1
ENSG00000247556	0.858437881837599	1
ENSG00000261801	0.917866601604037	1
ENSG00000262117	0.88296951150056	1
ENSG00000186594	0.901132274351548	1
ENSG00000265933	0.884471918274648	1
ENSG00000263753	0.868291483004577	1
ENSG00000265148	0.898173884728458	1
ENSG00000261824	0.884726252416149	1
ENSG00000163597	0.927605682336725	1
ENSG00000166770	0.85842071903171	1
ENSG00000268388	0.855710368405562	1
ENSG00000269821	0.865008763349615	1
ENSG00000268257	0.934208970821928	1
ENSG00000269893	0.889825807774905	1
ENSG00000237036	0.910695665448438	1
ENSG00000238057	0.853247019913979	1
ENSG00000272695	0.892157897925936	1
ENSG00000279418	0.85410882131895	1
ENSG00000281691	0.499826618048828	1
ENSG00000280997	0.693264670697972	1
ENSG00000290659	0.164736636860762	1
ENSG00000290655	0.232857778074685	1
ENSG00000293413	0.69349780009361	1
ENSG00000293423	0.035307687278837	1
ENSG00000293352	0.628060746530537	1
ENSG00000290723	0.369504900234751	1
ENSG00000291070	0.0732962919515558	1
ENSG00000273018	0.726341087310575	1
ENSG00000293317	0.159315257091075	1
ENSG00000233718	0.599415735951625	1
ENSG00000146666	0.840802459004335	0
ENSG00000152931	0.121038676078198	0
ENSG00000168746	0.0418192935278639	0
ENSG00000172965	0.909186924508074	0
ENSG00000176124	0.358931526134023	0
ENSG00000185186	0.654458086644532	0
ENSG00000196668	0.484338930683676	0
ENSG00000197291	0.356562271959148	0
ENSG00000204588	0.661362917446066	0
ENSG00000206195	0.809886079332791	0
ENSG00000214548	0.112346220467007	0
ENSG00000221819	0.338321005623555	0
ENSG00000223749	0.726947382599115	0
ENSG00000223784	0.19913661311171	0
ENSG00000223806	0.571447893306147	0
ENSG00000224078	0.348126846022438	0
ENSG00000224189	0.55610844067228	0
ENSG00000225383	0.519792288494296	0
ENSG00000225548	0.639193392822752	0
ENSG00000225756	0.749198047944345	0
ENSG00000225855	0.417935811529402	0
ENSG00000225937	0.340997554769274	0
ENSG00000226383	0.757023656142643	0
ENSG00000226950	0.472101705459645	0
ENSG00000228223	0.682513697456801	0
ENSG00000228412	0.781542061443673	0
ENSG00000228536	0.405635438435245	0
ENSG00000228742	0.374029733760748	0
ENSG00000229618	0.782993284330238	0
ENSG00000231768	0.669135618443601	0
ENSG00000232624	0.566249561142409	0
ENSG00000232774	0.644300977164414	0
ENSG00000233515	0.688570953887887	0
ENSG00000233532	0.241637983656023	0
ENSG00000233893	0.254824722844642	0
ENSG00000235531	0.184307206152007	0
ENSG00000235947	0.867613321162993	0
ENSG00000236039	0.250182880978798	0
ENSG00000236051	0.459037548538297	0
ENSG00000236283	0.0347161634832155	0
ENSG00000236529	0.737796516972827	0
ENSG00000236901	0.373401376045775	0
ENSG00000238113	0.423855706905248	0
ENSG00000238133	0.85672882631002	0
ENSG00000240032	0.359300386870746	0
ENSG00000240405	0.686405243180227	0
ENSG00000242125	0.721136208425742	0
ENSG00000243479	0.191652296724031	0
ENSG00000243766	0.0529480645062868	0
ENSG00000246582	0.305661213188898	0
ENSG00000246985	0.629416965569137	0
ENSG00000248587	0.706584552555112	0
ENSG00000249035	0.601152390753152	0
ENSG00000249201	0.85916587067768	0
ENSG00000249395	0.00423115949123166	0
ENSG00000250033	0.348739576125052	0
ENSG00000250451	0.59256402300857	0
